CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,122,-4,7,-,"1,145.40",-279.60,75,"1,160.95","1,187.15",75,"22,850.00","1,875",17.00,19.40,300,7.90,17.95,27.90,"1,23,995","1,028","3,812",
,701,-103,148,-,"1,123.90",-236.65,225,"1,108.55","1,139.45",75,"22,900.00","1,725",19.30,20.00,"1,125",8.75,19.25,27.37,"2,46,599","3,976","14,365",
,161,-5,29,-,"1,076.25",-253.70,75,"1,070.65","1,089.75",75,"22,950.00",750,20.55,22.00,"1,950",9.20,20.75,26.87,"1,44,418","2,121","4,117",
,"6,466",544,"3,826",-,"1,030.00",-248.30,450,"1,029.00","1,035.00",75,"23,000.00","3,000",22.60,22.80,"1,125",10.00,22.60,26.42,"9,65,862","30,726","84,766",
,88,-1,11,29.07,"1,059.30",-166.70,75,959.55,999.10,75,"23,050.00",75,23.90,24.60,"1,575",10.80,24.60,25.96,"1,69,284","3,149","4,688",
,"1,566",-31,536,-,939.70,-239.75,150,924.65,940.00,75,"23,100.00",75,25.30,26.00,225,11.05,26.00,25.30,"3,64,627","10,794","19,191",
,133,21,42,23.05,942.00,-193.00,75,875.40,902.60,75,"23,150.00",675,27.15,28.50,75,11.15,27.45,24.66,"1,90,194","2,581","4,325",
,"3,193",-81,"1,563",-,833.50,-250.35,525,836.05,845.80,450,"23,200.00","2,250",28.90,30.00,900,11.00,28.90,23.92,"5,60,266","26,626","45,593",
,219,55,149,-,805.65,-229.05,75,776.45,807.15,75,"23,250.00",675,31.45,32.80,150,12.75,32.10,23.53,"2,51,915","4,592","8,055",
,"1,909",-466,"5,199",-,746.45,-234.25,150,742.30,751.60,150,"23,300.00","1,725",34.40,34.95,225,13.10,34.30,22.89,"5,22,161","12,755","27,698",
,265,-38,704,-,692.80,-237.60,75,680.60,706.60,150,"23,350.00","1,725",37.30,37.80,975,13.75,37.05,22.30,"3,01,071","4,263","6,158",
